name,price,address,city,category_code,city_code,business,scan_date
Minolta 100mm F2.0 EX+ fits Sony Alpha,900.0,https://toronto.craigslist.ca/yrk/pho/d/minolta-100mm-f20-ex-fits/6764634339.html,Toronto,pho,yrk,0,2018-12-09 13:11:55
Nikon D600 24-85mm AFS VR 70-300mm AFS VR SB910 ALL LNIB,2000.0,https://toronto.craigslist.ca/yrk/pho/d/nikon-dmm-afs-vrmm-afs-vr/6768366050.html,Toronto,pho,yrk,0,2018-12-09 13:11:55
Canon T1i DSLR Camera,175.0,https://toronto.craigslist.ca/tor/phd/d/canon-t1i-dslr-camera/6753335287.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Nikon SB-600 Speedlite no pouch,185.0,https://toronto.craigslist.ca/tor/phd/d/nikon-sb-600-speedlite-no/6753332316.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Canon F1 Montreal 1976 Summer Olympic Edition,595.0,https://toronto.craigslist.ca/tor/phd/d/canon-f1-montreal-1976-summer/6753250435.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Canon F-1 Film Camera Montreal 1976 Olympic Version,595.0,https://toronto.craigslist.ca/tor/phd/d/canon-1-film-camera-montreal/6761186387.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Optex Deluxe Digital Scanner,75.0,https://toronto.craigslist.ca/tor/phd/d/optex-deluxe-digital-scanner/6753250751.html,Toronto,phd,tor,1,2018-12-09 13:11:55
SMC Takumar 135mm f3.5 M42 Screw Mount Lens,85.0,https://toronto.craigslist.ca/tor/phd/d/smc-takumar-135mm-f35-m42/6753250099.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Pentax ES II Film Camera with SMC Takumar 50mm f1.4 Lens,165.0,https://toronto.craigslist.ca/tor/phd/d/pentax-es-ii-film-camera-with/6753077664.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Kalimar 50mm f1.7 Minolta MD Mount Lens,55.0,https://toronto.craigslist.ca/tor/phd/d/kalimar-50mm-f17-minolta-md/6753077170.html,Toronto,phd,tor,1,2018-12-09 13:11:55
