name,price,address,category,scan_date
Texas Instruments TI-30Xa Scientific Calculator,8,https://www.amazon.com/Texas-Instruments-TI-30Xa-Scientific-Calculator/dp/B00000JBNS/ref=sr_1_29/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-29&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Avery T-Shirt Transfers for Light Fabric, 8.5"" x 11"", 18 Transfers - Make your Own Christmas Shirt (8938)",16,https://www.amazon.com/Avery-T-Shirt-Transfers-Light-Fabric/dp/B0006HV2ZE/ref=sr_1_30/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-30&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
AKASO EK7000 Plus 4K 16MP WiFi Action Camera Adjustable View Angle 30M Waterproof Camera Remote Control Sports Camera with Helmet Accessories Kit and Filters,47,https://www.amazon.com/dp/DEAL_B07DL7HNPG,Camera & Photo: Electronics,2018-12-08
"Avery Matte Frosted Clear Address Labels for Laser Printers, 1"" x 2-5/8"", 750 Labels (5630)",15,https://www.amazon.com/Avery-Frosted-Address-Labels-Printers/dp/B00007LP9T/ref=sr_1_25?s=electronics&ie=UTF8&qid=1544408522&sr=1-25&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Sharp EL-1750V 12 Digit Compact Desktop 2-Color Printing Calculator,34,https://www.amazon.com/Sharp-EL-1750V-Compact-Printing-Calculator/dp/B00006IF9Q/ref=sr_1_26?s=electronics&ie=UTF8&qid=1544408522&sr=1-26&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Arrow Fastener T50 Heavy Duty Staple Gun,17,https://www.amazon.com/dp/B00002ND61,Camera & Photo: Electronics,2018-12-08
"Avery Name Badge Inserts, Print or Write, 3"" x 4"", 300 Cardstock Refills (5392)",11,https://www.amazon.com/Avery-Badge-Inserts-Cardstock-Refills/dp/B00007LVDM/ref=sr_1_28?s=electronics&ie=UTF8&qid=1544408522&sr=1-28&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Extreme 3D Pro Joystick for Windows,34,https://www.amazon.com/Extreme-3D-Pro-Joystick-Windows-x/dp/B00009OY9U/ref=sr_1_29?s=electronics&ie=UTF8&qid=1544408522&sr=1-29&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Canon Original 104 Toner Cartridge - Black,68,https://www.amazon.com/Canon-Original-104-Toner-Cartridge/dp/B000B02BEM/ref=sr_1_30?s=electronics&ie=UTF8&qid=1544408522&sr=1-30&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Cobra 29LTD Professional CB Radio - Instant Channel 9, 4 Watt Output, Full 40 Channels, SWR Calibration",85,https://www.amazon.com/Cobra-29LTD-Professional-Radio-Calibration/dp/B00006JPF3/ref=sr_1_31?s=electronics&ie=UTF8&qid=1544408522&sr=1-31&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Royal Sovereign Electric Coin Sorter, Patented Anti-Jam Technology, 1 Row of Coin Sorting (CO-1000)",48,https://www.amazon.com/Royal-Sovereign-Electric-Technology-CO-1000/dp/B000FZ2936/ref=sr_1_32?s=electronics&ie=UTF8&qid=1544408522&sr=1-32&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
