name,price,address,category_code,scan_date
Nikon D850 FX-Format Digital SLR Camera Body,"3,296",https://www.amazon.com/Nikon-D850-FX-Format-Digital-Camera/dp/B07524LHMT/ref=sr_1_18/131-0699597-9559143?s=photo&ie=UTF8&qid=1544518732&sr=1-18&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Camera & Photo: Electronics,2018-12-11
Nikon D850 Filmmaker's Kit,"5,496",https://www.amazon.com/Nikon-D850-Filmmakers-Kit/dp/B07871NFM9/ref=sr_1_19/131-0699597-9559143?s=photo&ie=UTF8&qid=1544518732&sr=1-19&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Camera & Photo: Electronics,2018-12-11
Canon EOS Rebel T6 DSLR Camera w/ EF-S 18-55mm Lens + EF 75-300mm Lens + 2 X 32 GB Memory + Premium Accessory Bundle,449,https://www.amazon.com/Camera-18-55mm-75-300mm-Premium-Accessory/dp/B01M7XVRK7/ref=sr_1_21/131-0699597-9559143?s=photo&ie=UTF8&qid=1544518732&sr=1-21,Camera & Photo: Electronics,2018-12-11
Canon EF-S 18-135mm f/3.5-5.6 Image Stabilization USM Lens (Black),599,https://www.amazon.com/Canon-18-135mm-3-5-5-6-Image-Stabilization/dp/B01BUYJYOW/ref=sr_1_22/131-0699597-9559143?s=photo&ie=UTF8&qid=1544518732&sr=1-22&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Camera & Photo: Electronics,2018-12-11
Canon TS-E 24mm f/3.5L II Ultra Wide Tilt-Shift Lens for Canon Digital SLR Cameras,"1,899",https://www.amazon.com/Canon-Ultra-Tilt-Shift-Digital-Cameras/dp/B001TDL2O0/ref=sr_1_23/131-0699597-9559143?s=photo&ie=UTF8&qid=1544518732&sr=1-23&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Camera & Photo: Electronics,2018-12-11
Nikon 10x42 ProStaff 3S Binoculars (Black),126,https://www.amazon.com/Nikon-10x42-ProStaff-Binoculars-Black/dp/B01B6FBG0K/ref=sr_1_24/131-0699597-9559143?s=photo&ie=UTF8&qid=1544518732&sr=1-24,Camera & Photo: Electronics,2018-12-11
Nikon AF-S DX NIKKOR 35mm f/1.8G Lens with Auto Focus for Nikon DSLR Cameras,166,https://www.amazon.com/Nikon-AF-S-NIKKOR-Focus-Cameras/dp/B001S2PPT0/ref=sr_1_1/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-1&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Nikon AF-S FX NIKKOR 50mm f/1.8G Lens with Auto Focus for Nikon DSLR Cameras,216,https://www.amazon.com/Nikon-AF-S-NIKKOR-1-8G-Cameras/dp/B004Y1AYAC/ref=sr_1_2/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-2&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Canon EF 50mm f/1.4 USM Standard & Medium Telephoto Lens for Canon SLR Cameras - Fixed,299,https://www.amazon.com/Canon-Standard-Medium-Telephoto-Cameras/dp/B00009XVCZ/ref=sr_1_4/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-4&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Sony - FE 50mm F1.8 Standard Lens (SEL50F18F),223,https://www.amazon.com/Sony-50mm-F1-8-Standard-SEL50F18F/dp/B01DLMD5O6/ref=sr_1_5/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-5&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
